Store,Dry.Grocery..,Dairy..,Frozen.Food,Meat..,Produce..,Floral..,Deli..,Bakery..,General.Merchandise..,Cluster
S0001,0.461347256191005,0.103083711135117,7.71992455083212e-02,0.107677407544427,9.71710393775539e-02,6.76943284562813e-03,4.35499280928625e-02,3.55438762077168e-02,6.76581030973681e-02,3
S0002,0.457527949083223,0.106387614827823,7.88409295330155e-02,0.114903453863337,0.101259398448973,7.43805882092399e-03,3.97924175500092e-02,2.97015275080537e-02,6.41486503646414e-02,3
S0003,0.421349090976034,0.102356277155029,6.90274951881104e-02,0.114712737477345,0.125398810093972,9.63139266251227e-03,4.17608010835744e-02,3.6108020398531e-02,7.96553749648917e-02,2
S0004,0.454559842754878,9.71110184142128e-02,8.02771438209139e-02,0.127727655160358,0.100409215003823,6.11962840234595e-03,4.1785244889491e-02,3.44687102573433e-02,5.75415412966342e-02,3
S0005,0.440168751326419,0.106268088711871,8.63385221704152e-02,0.101863261521421,0.131112051480084,8.87725043115849e-03,3.53892143446513e-02,2.26068609695602e-02,6.73759990444177e-02,2
S0006,0.459835154055703,9.86092204573975e-02,7.44431349925712e-02,0.106915913135008,0.101782028967436,8.26503917669204e-03,4.63088698912904e-02,3.54168899377194e-02,6.84237493861833e-02,3
S0007,0.44208679782917,0.1021349578005,8.91698520746593e-02,0.11513459312441,0.10344684308253,7.83833378592739e-03,4.6297658936312e-02,3.0176372202992e-02,6.37145911634981e-02,3
S0008,0.428456854340608,0.108732133262435,8.03214638150092e-02,0.106877729076464,0.123696355013802,7.85879599969306e-03,3.26226575362249e-02,2.23977415146482e-02,8.90362694411169e-02,2
S0009,0.442252268953613,0.100376118680609,7.70513630038109e-02,0.118908012197526,0.103507489386628,7.28825603574165e-03,4.42039365223497e-02,2.57563410955321e-02,8.06562141241904e-02,3
S0010,0.431445351653698,0.114961550563779,8.03417423039273e-02,0.1071483008579,0.121628835822001,1.03830223153172e-02,3.70989502705744e-02,3.80513668048399e-02,5.89408794079622e-02,2
S0011,0.453793380919972,9.39842835591388e-02,7.18815074426863e-02,0.12144254940254,9.84667243065496e-02,7.89639566108306e-03,4.87167833623752e-02,3.24408447063269e-02,7.13775306393308e-02,3
S0012,0.465998768635106,9.72651219234046e-02,7.43573582524038e-02,0.114390617854775,9.43147434933286e-02,6.82503713999213e-03,4.50660924528401e-02,1.8591681158939e-02,8.31905790892112e-02,1
S0013,0.445549198216577,9.0722320315959e-02,7.53523969528446e-02,0.114048296509886,9.26613700325086e-02,7.91171794016964e-03,4.62765957654582e-02,3.42805992967668e-02,9.31975049698301e-02,1
S0014,0.444373274837776,9.77680803721068e-02,7.71851405440994e-02,9.86968258450803e-02,0.106849081709651,1.0659684666936e-02,3.49266385554972e-02,2.05489027403506e-02,0.108992370728502,1
S0015,0.447967998890745,9.87655457204677e-02,7.78688036281489e-02,9.99899973651005e-02,0.104974713807682,7.68547417941353e-03,3.49771429126951e-02,2.5105510094483e-02,0.102664813401266,1
